Data from HDX013801__0__12-06-10-747.txt Node

Date: Tue Sep 20 12:06:10 CEST 2022
User: Mapthz02
Spectrometer: HDX01380
Trigger mode: 0
Integration Time (sec): 4,000000E-2
Scans to average: 1
Nonlinearity correction enabled: false
Boxcar width: 0
Storing dark spectrum: false
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2068
>>>>>Begin Spectral Data<<<<<
193,877	1935
194,251	1250
194,625	1345
194,999	1327
195,373	1385
195,747	1404
196,121	1410
196,495	1413
196,869	1405
197,242	1399
197,616	1401
197,989	1407
198,362	1399
198,736	1404
199,109	1397
199,482	1409
199,855	1396
200,228	1406
200,601	1387
200,973	1400
201,346	1404
201,719	1403
202,091	1415
202,463	1397
202,836	1391
203,208	1402
203,58	1406
203,952	1416
204,324	1407
204,696	1394
205,068	1403
205,439	1411
205,811	1416
206,182	1407
206,554	1414
206,925	1415
207,296	1413
207,668	1417
208,039	1402
208,41	1408
208,781	1421
209,151	1419
209,522	1408
209,893	1405
210,263	1405
210,634	1438
211,004	1407
211,375	1411
211,745	1424
212,115	1416
212,485	1410
212,855	1410
213,225	1412
213,595	1404
213,964	1433
214,334	1399
214,703	1426
215,073	1412
215,442	1409
215,811	1410
216,181	1397
216,55	1405
216,919	1406
217,288	1414
217,657	1396
218,025	1432
218,394	1407
218,763	1406
219,131	1412
219,499	1402
219,868	1408
220,236	1417
220,604	1410
220,972	1411
221,34	1403
221,708	1415
222,076	1413
222,444	1406
222,811	1401
223,179	1403
223,546	1421
223,914	1391
224,281	1417
224,648	1406
225,015	1411
225,382	1414
225,749	1401
226,116	1403
226,483	1403
226,85	1403
227,216	1425
227,583	1402
227,949	1405
228,315	1399
228,682	1401
229,048	1435
229,414	1397
229,78	1400
230,146	1417
230,512	1402
230,877	1405
231,243	1392
231,609	1408
231,974	1418
232,34	1415
232,705	1404
233,07	1406
233,435	1395
233,8	1406
234,165	1398
234,53	1411
234,895	1412
235,26	1415
235,624	1390
235,989	1417
236,353	1401
236,718	1417
237,082	1395
237,446	1391
237,81	1402
238,175	1385
238,538	1415
238,902	1400
239,266	1414
239,63	1416
239,993	1402
240,357	1407
240,72	1400
241,084	1431
241,447	1409
241,81	1396
242,173	1415
242,536	1425
242,899	1400
243,262	1409
243,625	1401
243,988	1385
244,35	1405
244,713	1414
245,075	1424
245,438	1404
245,8	1398
246,162	1415
246,524	1423
246,886	1391
247,248	1401
247,61	1388
247,972	1414
248,333	1420
248,695	1404
249,056	1412
249,418	1416
249,779	1400
250,14	1408
250,502	1413
250,863	1387
251,224	1396
251,585	1413
251,945	1425
252,306	1415
252,667	1401
253,027	1432
253,388	1410
253,748	1413
254,109	1411
254,469	1420
254,829	1410
255,189	1409
255,549	1407
255,909	1420
256,269	1402
256,628	1417
256,988	1410
257,348	1411
257,707	1432
258,066	1421
258,426	1425
258,785	1410
259,144	1415
259,503	1402
259,862	1415
260,221	1403
260,58	1443
260,939	1408
261,297	1403
261,656	1423
262,014	1415
262,373	1401
262,731	1429
263,089	1400
263,447	1413
263,805	1416
264,163	1419
264,521	1418
264,879	1400
265,237	1422
265,594	1408
265,952	1412
266,309	1392
266,667	1412
267,024	1375
267,381	1400
267,738	1405
268,095	1405
268,452	1424
268,809	1405
269,166	1407
269,523	1410
269,879	1398
270,236	1401
270,592	1394
270,949	1405
271,305	1408
271,661	1393
272,017	1406
272,373	1402
272,729	1408
273,085	1406
273,441	1417
273,797	1402
274,152	1412
274,508	1386
274,863	1402
275,219	1401
275,574	1403
275,929	1397
276,284	1404
276,639	1406
276,994	1431
277,349	1414
277,704	1405
278,059	1430
278,413	1404
278,768	1396
279,122	1402
279,477	1398
279,831	1400
280,185	1428
280,539	1417
280,893	1408
281,247	1415
281,601	1394
281,955	1408
282,309	1417
282,662	1452
283,016	1414
283,369	1425
283,723	1414
284,076	1421
284,429	1406
284,782	1415
285,135	1426
285,488	1414
285,841	1392
286,194	1428
286,547	1410
286,899	1425
287,252	1422
287,605	1411
287,957	1417
288,309	1423
288,661	1426
289,014	1415
289,366	1423
289,718	1417
290,07	1420
290,421	1423
290,773	1405
291,125	1415
291,476	1414
291,828	1450
292,179	1419
292,53	1426
292,882	1429
293,233	1432
293,584	1443
293,935	1464
294,286	1488
294,637	1501
294,987	1505
295,338	1499
295,689	1511
296,039	1541
296,39	1558
296,74	1553
297,09	1506
297,44	1479
297,79	1472
298,14	1463
298,49	1455
298,84	1455
299,19	1449
299,54	1457
299,889	1468
300,239	1480
300,588	1499
300,937	1531
301,287	1583
301,636	1604
301,985	1526
302,334	1523
302,683	1475
303,032	1515
303,381	1474
303,729	1499
304,078	1512
304,426	1515
304,775	1521
305,123	1534
305,472	1561
305,82	1539
306,168	1574
306,516	1592
306,864	1674
307,212	1847
307,56	2221
307,907	2833
308,255	3046
308,602	2521
308,95	2222
309,297	2327
309,645	2716
309,992	3642
310,339	5074
310,686	5885
311,033	4700
311,38	3293
311,727	2924
312,073	2897
312,42	2907
312,767	2914
313,113	2826
313,46	2592
313,806	2451
314,152	2286
314,498	2327
314,844	2525
315,19	2829
315,536	3463
315,882	3895
316,228	3785
316,574	3349
316,919	2928
317,265	2839
317,61	3022
317,955	3403
318,301	4007
318,646	4298
318,991	4051
319,336	3520
319,681	3087
320,026	2921
320,371	2901
320,715	3097
321,06	3237
321,405	3227
321,749	2928
322,093	2554
322,438	2328
322,782	2188
323,126	2176
323,47	2189
323,814	2290
324,158	2340
324,502	2479
324,846	2573
325,189	2527
325,533	2497
325,876	2463
326,22	2447
326,563	2559
