Data from HDX013801__4__12-13-24-102.txt Node

Date: Tue Sep 20 12:13:24 CEST 2022
User: Mapthz02
Spectrometer: HDX01380
Trigger mode: 0
Integration Time (sec): 4,000000E-2
Scans to average: 1
Nonlinearity correction enabled: false
Boxcar width: 0
Storing dark spectrum: false
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2068
>>>>>Begin Spectral Data<<<<<
193,877	1939
194,251	1248
194,625	1336
194,999	1321
195,373	1390
195,747	1392
196,121	1411
196,495	1415
196,869	1396
197,242	1380
197,616	1396
197,989	1405
198,362	1392
198,736	1414
199,109	1390
199,482	1405
199,855	1392
200,228	1398
200,601	1384
200,973	1386
201,346	1396
201,719	1408
202,091	1408
202,463	1401
202,836	1378
203,208	1390
203,58	1395
203,952	1421
204,324	1394
204,696	1396
205,068	1393
205,439	1397
205,811	1401
206,182	1412
206,554	1382
206,925	1393
207,296	1405
207,668	1406
208,039	1396
208,41	1395
208,781	1412
209,151	1395
209,522	1399
209,893	1401
210,263	1409
210,634	1413
211,004	1394
211,375	1393
211,745	1401
212,115	1415
212,485	1410
212,855	1391
213,225	1405
213,595	1392
213,964	1427
214,334	1379
214,703	1420
215,073	1404
215,442	1400
215,811	1404
216,181	1393
216,55	1398
216,919	1380
217,288	1403
217,657	1392
218,025	1418
218,394	1394
218,763	1387
219,131	1404
219,499	1399
219,868	1396
220,236	1407
220,604	1407
220,972	1406
221,34	1403
221,708	1421
222,076	1409
222,444	1398
222,811	1400
223,179	1398
223,546	1408
223,914	1401
224,281	1403
224,648	1410
225,015	1394
225,382	1402
225,749	1395
226,116	1399
226,483	1402
226,85	1395
227,216	1399
227,583	1391
227,949	1399
228,315	1398
228,682	1401
229,048	1409
229,414	1407
229,78	1413
230,146	1406
230,512	1412
230,877	1396
231,243	1396
231,609	1436
231,974	1407
232,34	1402
232,705	1410
233,07	1413
233,435	1403
233,8	1406
234,165	1401
234,53	1403
234,895	1423
235,26	1412
235,624	1421
235,989	1417
236,353	1392
236,718	1413
237,082	1410
237,446	1406
237,81	1396
238,175	1400
238,538	1407
238,902	1403
239,266	1413
239,63	1417
239,993	1411
240,357	1413
240,72	1419
241,084	1403
241,447	1413
241,81	1398
242,173	1414
242,536	1425
242,899	1402
243,262	1411
243,625	1409
243,988	1408
244,35	1392
244,713	1414
245,075	1419
245,438	1412
245,8	1395
246,162	1434
246,524	1414
246,886	1402
247,248	1421
247,61	1400
247,972	1428
248,333	1407
248,695	1412
249,056	1410
249,418	1410
249,779	1401
250,14	1405
250,502	1400
250,863	1395
251,224	1393
251,585	1406
251,945	1411
252,306	1409
252,667	1402
253,027	1432
253,388	1396
253,748	1412
254,109	1392
254,469	1408
254,829	1390
255,189	1388
255,549	1408
255,909	1408
256,269	1395
256,628	1413
256,988	1411
257,348	1407
257,707	1415
258,066	1409
258,426	1402
258,785	1403
259,144	1410
259,503	1398
259,862	1397
260,221	1400
260,58	1434
260,939	1408
261,297	1417
261,656	1397
262,014	1407
262,373	1414
262,731	1427
263,089	1410
263,447	1394
263,805	1418
264,163	1413
264,521	1407
264,879	1390
265,237	1414
265,594	1401
265,952	1408
266,309	1396
266,667	1422
267,024	1389
267,381	1393
267,738	1406
268,095	1389
268,452	1407
268,809	1399
269,166	1412
269,523	1418
269,879	1385
270,236	1407
270,592	1398
270,949	1407
271,305	1410
271,661	1411
272,017	1395
272,373	1405
272,729	1418
273,085	1389
273,441	1405
273,797	1390
274,152	1406
274,508	1403
274,863	1402
275,219	1404
275,574	1390
275,929	1386
276,284	1392
276,639	1392
276,994	1414
277,349	1394
277,704	1404
278,059	1415
278,413	1404
278,768	1412
279,122	1398
279,477	1422
279,831	1410
280,185	1414
280,539	1415
280,893	1398
281,247	1399
281,601	1398
281,955	1407
282,309	1421
282,662	1436
283,016	1407
283,369	1425
283,723	1406
284,076	1424
284,429	1412
284,782	1409
285,135	1420
285,488	1415
285,841	1402
286,194	1445
286,547	1393
286,899	1413
287,252	1417
287,605	1414
287,957	1404
288,309	1420
288,661	1398
289,014	1400
289,366	1401
289,718	1428
290,07	1411
290,421	1408
290,773	1398
291,125	1420
291,476	1410
291,828	1428
292,179	1414
292,53	1420
292,882	1409
293,233	1413
293,584	1409
293,935	1412
294,286	1409
294,637	1430
294,987	1441
295,338	1402
295,689	1415
296,039	1411
296,39	1419
296,74	1426
297,09	1395
297,44	1413
297,79	1394
298,14	1428
298,49	1422
298,84	1424
299,19	1423
299,54	1429
299,889	1435
300,239	1441
300,588	1445
300,937	1449
301,287	1430
301,636	1426
301,985	1416
302,334	1436
302,683	1416
303,032	1450
303,381	1435
303,729	1430
304,078	1458
304,426	1446
304,775	1449
305,123	1443
305,472	1460
305,82	1446
306,168	1439
306,516	1441
306,864	1422
307,212	1421
307,56	1422
307,907	1445
308,255	1425
308,602	1426
308,95	1452
309,297	1437
309,645	1430
309,992	1446
310,339	1420
310,686	1421
311,033	1414
311,38	1412
311,727	1448
312,073	1430
312,42	1421
312,767	1413
313,113	1415
313,46	1412
313,806	1430
314,152	1425
314,498	1416
314,844	1415
315,19	1416
315,536	1403
315,882	1410
316,228	1408
316,574	1428
316,919	1390
317,265	1412
317,61	1422
317,955	1426
318,301	1399
318,646	1405
318,991	1423
319,336	1417
319,681	1413
320,026	1408
320,371	1400
320,715	1399
321,06	1411
321,405	1412
321,749	1409
322,093	1408
322,438	1403
322,782	1417
323,126	1410
323,47	1411
323,814	1410
324,158	1402
324,502	1388
324,846	1407
325,189	1400
325,533	1384
325,876	1402
326,22	1409
326,563	1402
326,906	1406
327,25	1401
327,593	1415
327,936	1417
328,279	1416
328,621	1398
328,964	1411
329,307	1417
329,649	1419
329,992	1428
330,334	1408
330,677	1411
331,019	1415
331,361	1418
331,703	1409
332,045	1426
332,387	1425
332,729	1418
333,071	1422
333,413	1412
333,755	1417
334,096	1422
334,438	1416
334,779	1421
335,12	1422
335,462	1423
335,803	1417
336,144	1411
336,485	1411
336,826	1434
337,167	1418
337,507	1398
337,848	1406
338,189	1411
338,529	1423
338,87	1400
339,21	1432
339,55	1418
339,89	1397
340,231	1433
340,571	1426
340,911	1431
341,25	1421
341,59	1406
341,93	1427
342,27	1419
342,609	1404
342,949	1413
343,288	1400
343,627	1421
343,967	1419
344,306	1431
344,645	1427
344,984	1429
345,323	1429
345,662	1436
346	1433
346,339	1426
346,678	1428
347,016	1414
347,355	1420
347,693	1419
348,031	1418
348,37	1419
348,708	1422
349,046	1432
349,384	1443
349,722	1475
350,06	1452
350,397	1457
350,735	1417
351,073	1436
351,41	1428
351,747	1439
352,085	1437
352,422	1429
352,759	1432
353,096	1452
353,433	1465
353,77	1469
354,107	1521
354,444	1580
354,781	1620
355,117	1628
355,454	1590
355,79	1543
356,127	1527
356,463	1546
356,799	1522
357,135	1583
357,471	1549
357,807	1595
358,143	1627
358,479	1669
358,815	1714
359,151	1687
359,486	1683
359,822	1655
360,157	1631
360,493	1629
360,828	1629
361,163	1665
361,498	1691
361,833	1766
362,168	1819
362,503	1896
362,838	1983
363,173	1960
363,507	1963
363,842	1891
364,176	1870
364,511	1823
364,845	1815
365,179	1774
365,514	1788
365,848	1830
366,182	1853
366,516	1922
366,85	2020
367,183	2113
367,517	2229
367,851	2360
368,184	2419
368,518	2478
